A,B,C,D,E,F,G,H,I,J,DCTN240T
0,0,0,0,99.574402,2330.996826,77.753731,49,9441,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,49,9741,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,49,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,49,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,49,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,49,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,49,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,49,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,50,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,50,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,50,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,50,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,50,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,50,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,50,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,50,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,50,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,50,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,50,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,50,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,51,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,51,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,51,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,51,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,51,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,51,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,51,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,51,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,51,9999,74,75.07061
0,0,0,0,99.574402,2330.996826,77.753731,51,9999,74,74.069359
0,0,0,0,99.574402,2330.996826,77.753731,51,9999,74,74.069359
0,0,0,0,99.574402,2330.996826,77.753731,51,9999,74,74.069359
0,0,0,0,99.574402,2330.996826,77.753731,51,9999,74,74.069359
0,0,0,0,99.574402,2330.996826,77.753731,51,9999,74,74.069359
0,0,0,0,99.574402,2330.996826,77.753731,51,9999,74,74.069359
0,0,0,0,99.574402,2330.996826,77.753731,51,9999,74,74.069359
0,0,0,0,99.574402,2330.996826,77.753731,51,9999,74,74.069359
0,0,0,0,99.574402,2330.996826,77.753731,51,9999,74,74.069359
0,0,0,0,99.574402,2330.996826,77.753731,52,9999,74,74.069359
0,0,0,0,99.574402,2330.996826,77.753731,52,9999,74,74.069359
0,0,0,0,99.574402,2330.996826,77.753731,52,9999,74,74.069359
0,0,0,0,99.574402,2330.996826,77.753731,52,9999,74,74.069359
0,0,0,0,99.574402,2330.996826,77.753731,52,9999,74,74.069359
0,0,0,0,99.574402,1904.829834,77.753731,52,9999,74,73.062492
0,0,0,0,99.574402,1882.477905,76.746864,52,9999,74,72.027489
1,0,1,0,99.574402,1882.101929,76.746864,52,9999,74,71.020607
1,0,1,0,99.574402,1882.101929,76.746864,52,9999,74,71.020607
1,0,1,0,99.574402,1880.909302,75.723106,52,9999,74,71.020607
1,0,1,0,99.574402,1880.909302,75.723106,52,9999,74,71.020607
1,0,1,0,99.574402,1880.909302,75.723106,52,9999,74,71.020607
1,0,1,0,99.574402,1874.761841,75.723106,52,9999,74,71.020607
1,0,1,0,99.574402,1873.780762,75.723106,52,9999,74,71.020607
1,0,1,0,99.574402,1870.095093,75.723106,52,9999,74,71.020607
1,0,1,0,99.574402,1870.095093,75.723106,52,9999,74,71.020607
1,0,1,0,99.574402,1862.86853,75.723106,52,9999,74,71.020607
1,0,1,0,99.574402,1860.735718,75.723106,52,9999,74,71.020607
1,0,1,0,99.574402,1862.86853,75.723106,52,9999,74,71.020607
1,0,1,0,99.574402,1863.413452,75.723106,53,9999,74,71.020607
1,0,1,0,99.574402,1863.413452,75.723106,53,9999,74,71.020607
1,0,1,0,99.574402,1858.448364,75.723106,53,9999,74,71.020607
1,0,1,0,99.574402,1849.549316,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1858.448364,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1845.228027,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1845.411133,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1845.411133,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1847.08667,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1849.947754,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1849.947754,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1854.015137,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1867.62146,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1867.62146,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1869.527344,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1864.298218,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1857.670898,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1855.657593,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1855.657593,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1861.224121,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1861.869263,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1871.349976,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1871.349976,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1861.08374,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1859.209717,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1859.209717,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1849.726929,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1849.726929,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1856.11438,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1857.966187,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1864.791016,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1857.966187,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1852.385254,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1852.385254,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1856.043091,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1865.606934,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1872.125488,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1872.125488,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1872.125488,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1872.800903,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1872.800903,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1863.416016,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1863.416016,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1864.828491,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1864.828491,74.719048,53,9999,74,71.020607
1,0,1,0,99.574402,1839.403809,74.719048,54,9999,74,71.020607
1,0,1,0,99.574402,1839.403809,74.719048,54,9999,74,71.020607
1,0,1,0,99.574402,1847.539062,74.719048,54,9999,74,72.044357
1,0,1,0,99.574402,1854.782349,74.719048,54,9999,74,72.044357
1,0,1,0,99.574402,1865.761475,74.719048,55,9999,74,72.044357
1,0,1,0,99.574402,1865.761475,74.719048,55,9999,74,72.044357
1,0,1,0,99.574402,1840.183716,74.719048,55,9999,74,72.044357
1,0,1,0,99.574402,1840.183716,74.719048,55,9999,74,72.044357
1,0,1,0,99.574402,1835.879639,74.719048,55,9999,74,72.044357
1,0,1,0,99.574402,1849.681641,74.719048,55,9999,74,72.044357
