A,B,C,D,E,F,G,H,I,J,DCTN240T
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,73.197487
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,73.197487
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,73.197487
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,72.190605
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,72.190605
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,72.190605
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,72.190605
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,72.190605
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,72.190605
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,72.190605
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,72.190605
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,72.190605
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,72.190605
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,72.190605
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,72.190605
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,72.190605
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,72.190605
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,72.190605
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,72.190605
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,71.189362
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,71.189362
0,0,0,0.216906,99.883888,1925.933716,76.918419,49,9999,74,71.189362
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,71.189362
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,71.189362
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,71.189362
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,71.189362
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,71.189362
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,71.189362
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,71.189362
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,71.189362
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,71.189362
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,71.189362
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,71.189362
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,71.189362
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,71.189362
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,71.189362
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,71.189362
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,71.189362
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,70.182487
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,70.182487
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,70.182487
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,70.182487
0,0,0,0.216906,99.883888,1925.933716,76.918419,47.5,9999,74,70.182487
1,0,1,0.216906,99.883888,1925.933716,75.917168,46.5,9999,74,70.182487
1,0,1,0.216906,99.883888,1920.975952,74.910294,45.5,9999,74,68.168732
1,0,1,0.216906,99.883888,1920.975952,74.910294,45.5,9999,74,68.168732
1,0,1,0.216906,99.883888,1915.504883,73.886551,45.5,9999,74,68.168732
1,0,1,0.216906,99.883888,1915.504883,73.886551,45.5,9999,74,68.168732
1,0,1,0.216906,99.883888,1913.751343,73.886551,45.5,9999,74,68.168732
1,0,1,0.216906,99.883888,1934.966309,73.886551,45.5,9999,74,68.168732
1,0,1,0.216906,99.883888,1913.751343,73.886551,45.5,9999,74,68.168732
1,0,1,0.216906,99.883888,1889.251709,73.886551,45.5,9999,74,68.168732
1,0,1,0.216906,99.883888,1889.251709,72.871231,45.5,9999,74,68.168732
1,0,1,0.216906,99.883888,1900.825928,72.871231,45.5,9999,74,68.168732
1,0,1,0.216906,99.883888,1900.825928,72.871231,45.5,9999,74,68.168732
1,0,1,0.216906,99.883888,1896.077637,72.871231,45.5,9999,74,69.169991
1,0,1,0.216906,99.883888,1894.272949,72.871231,45.5,9999,74,69.169991
1,0,1,0.216906,99.883888,1894.272949,72.871231,45.5,9999,74,69.169991
1,0,1,0.216906,99.883888,1895.640137,72.871231,45.5,9999,74,69.169991
1,0,1,0.216906,99.883888,1895.640137,72.871231,45.5,9999,74,69.169991
1,0,1,0.216906,99.883888,1892.318481,72.871231,45.5,9999,74,69.169991
1,0,1,0.216906,99.883888,1892.318481,72.871231,45.5,9999,74,70.171234
1,0,1,0.216906,99.883888,1894.565186,72.871231,45.5,9999,74,70.171234
1,0,1,0.216906,99.883888,1898.783936,72.871231,45.5,9999,74,70.171234
1,0,1,0.216906,99.883888,1900.197754,72.871231,45.5,9999,74,70.171234
1,0,1,0.216906,99.883888,1900.197754,72.871231,45.5,9999,74,70.171234
1,0,1,0.216906,99.883888,1898.997437,72.871231,45.5,9999,74,70.171234
1,0,1,0.216906,99.883888,1898.997437,72.871231,45.5,9999,74,70.171234
1,0,1,0.216906,99.883888,1892.164185,72.871231,45.5,9999,74,70.171234
1,0,1,0.216906,99.883888,1900.790161,72.871231,45.5,9999,74,70.171234
1,0,1,0.216906,99.883888,1900.963867,72.871231,45.5,9999,74,70.171234
1,0,1,0.216906,99.883888,1902.879639,72.871231,45.5,9999,74,70.171234
1,0,1,0.216906,99.883888,1902.879639,72.871231,45.5,9999,74,70.171234
1,0,1,0.216906,99.883888,1887.991943,72.871231,45.5,9999,74,70.171234
1,0,1,0.216906,99.883888,1887.991943,72.871231,45.5,9999,74,70.171234
1,0,1,0.216906,99.883888,1886.594482,72.871231,45.5,9999,74,70.171234
1,0,1,0.216906,99.883888,1894.639038,72.871231,45.5,9999,74,70.171234
1,0,1,0.216906,99.883888,1891.548218,72.871231,45.5,9999,74,70.171234
1,0,1,0.216906,99.883888,1891.548218,72.871231,45.5,9999,74,70.171234
1,0,1,0.216906,99.883888,1887.857422,72.871231,45.5,9999,74,70.171234
1,0,1,0.216906,99.883888,1887.857422,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1888.561279,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1888.561279,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1891.397217,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1893.460693,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1899.151733,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1913.110107,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1906.770996,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1907.279785,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1907.279785,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1908.640381,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1910.824341,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1908.640381,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1910.824341,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1895.419922,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1890.870483,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1890.870483,72.871231,44.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1890.870483,72.871231,44.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1891.353027,72.871231,44.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1891.970215,72.871231,44.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1895.821777,72.871231,44.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1901.199219,72.871231,44.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1901.76416,72.871231,44.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1904.691406,72.871231,44.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1907.956177,72.871231,44.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1904.691406,72.871231,44.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1907.956177,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1896.253906,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1902.638062,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1898.321045,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1902.638062,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1902.893921,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1902.893921,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1881.497192,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1881.497192,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1884.670288,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1885.967529,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1884.670288,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1882.316162,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1877.474365,72.871231,45.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1877.474365,72.871231,46.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1877.474365,72.871231,46.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1878.664185,72.871231,46.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1874.490967,72.871231,46.5,9999,74,71.172485
1,0,1,0.216906,99.883888,1875.845459,72.871231,47.5,9999,74,72.173737
1,0,1,0.216906,99.883888,1875.373413,72.871231,47.5,9999,74,72.173737
1,0,1,0.216906,99.883888,1875.845459,72.871231,47.5,9999,74,72.173737
1,0,1,0.216906,99.883888,1875.373413,72.871231,47.5,9999,74,72.173737
1,0,1,0.216906,99.883888,1877.445312,73.878105,47.5,9999,74,72.173737
1,0,1,0.216906,99.883888,1872.949707,73.878105,47.5,9999,74,72.173737
1,0,1,0.216906,99.883888,1872.949707,73.878105,47.5,9999,74,72.173737
1,0,1,0.216906,99.883888,1872.949707,73.878105,47.5,9999,74,72.173737
1,0,1,0.216906,99.883888,1883.034668,73.878105,47.5,9999,74,72.173737
1,0,1,0.216906,99.883888,1883.034668,73.878105,47.5,9999,74,72.173737
1,0,1,0.216906,99.883888,1883.239746,73.878105,47.5,9999,74,72.173737
1,0,1,0.216906,99.883888,1878.10498,73.878105,47.5,9999,74,72.173737
1,0,1,0.216906,99.883888,1883.239746,73.878105,47.5,9999,74,72.173737
1,0,1,0.216906,99.883888,1885.078857,73.878105,47.5,9999,74,72.173737
1,0,1,0.216906,99.883888,1885.078857,73.878105,47.5,9999,74,72.173737
1,0,1,0.216906,99.883888,1885.078857,73.878105,47.5,9999,74,72.173737
1,0,1,0.216906,99.883888,1874.591309,73.878105,47.5,9999,74,72.173737
1,0,1,0.216906,99.883888,1883.197632,73.878105,48.5,9999,74,72.173737
1,0,1,0.216906,99.883888,1883.197632,73.878105,48.5,9999,74,72.173737
1,0,1,0.216906,99.883888,1883.197632,73.878105,48.5,9999,74,73.186234
1,0,1,0.216906,99.883888,1884.463013,73.878105,48.5,9999,74,73.186234
1,0,1,0.216906,99.883888,1879.467773,73.878105,48.5,9999,74,73.186234
1,0,1,0.216906,99.883888,1885.594482,73.878105,48.5,9999,74,73.186234
1,0,1,0.216906,99.883888,1898.794434,73.878105,48.5,9999,74,73.186234
1,0,1,0.216906,99.883888,1898.794434,73.878105,48.5,9999,74,73.186234
1,1.966667,1,0.216906,99.883888,1894.324707,73.878105,48.5,9999,74,73.186234
1,1.966667,1,0.216906,99.883888,1874.431396,73.878105,48.5,9999,74,73.186234
1,3.6,1,0.216906,99.883888,1869.070679,73.878105,48.5,9999,74,73.186234
1,3.6,1,0.216906,99.883888,1869.070679,73.878105,48.5,9999,74,73.186234
1,5,1,0.216906,99.883888,1916.197266,73.878105,48.5,9999,74,73.186234
1,5,1,0.216906,99.883888,2135.487305,73.878105,48.5,9999,74,73.186234
1,5,1,0.216906,99.883888,2425.523438,74.882172,48.5,9999,74,73.186234
1,5,1,0.216906,99.883888,2634.576416,74.882172,48.5,9999,74,73.186234
1,5,1,0.216906,99.883888,2868.891846,74.882172,48.5,9999,74,73.186234
1,5,1,0.216906,99.883888,2929.315674,74.882172,48.5,9999,74,73.186234
0,5,0,0.216906,99.883888,2929.315674,74.882172,48.5,9999,74,74.193108
0,5,0,0.216906,99.883888,2927.946533,75.917168,48.5,9999,74,74.193108
0,5,0,0.216906,99.883888,2927.946533,75.917168,48.5,9999,74,74.193108
0,5,0,0.216906,99.883888,2946.048828,75.917168,48.5,9999,74,74.193108
0,5,0,0.216906,99.883888,2951.331055,76.943733,48.5,9999,74,74.193108
0,5,0,0.216906,99.883888,2980.736572,77.970299,48.5,9999,74,74.193108
0,5,0,0.216906,99.883888,2990.890869,77.970299,48.5,1,74,74.193108
0,5,0,0.216906,99.883888,2990.890869,77.970299,48.5,1,74,74.193108
0,5,0,0.216906,99.883888,2942.629883,77.970299,48.5,1,74,74.193108
0,5,0,99.461472,99.883888,2851.808594,77.970299,48.5,1,74,75.216858
0,5,0,99.461472,99.883888,2761.620605,77.970299,48.5,0,74,75.216858
0,5,0,99.461472,99.883888,2730.769775,77.970299,48.5,0,74,75.216858
0,5,0,99.461472,99.883888,2730.769775,77.970299,48.5,0,74,75.216858
0,5,0,99.461472,99.883888,2730.769775,77.970299,47.5,0,74,75.216858
0,5,0,99.461472,99.883888,2713.639648,77.970299,47.5,0,74,75.216858
0,5,0,99.461472,99.883888,2704.780273,77.970299,47.5,0,74,75.216858
0,5,0,99.461472,99.883888,2704.780273,77.970299,47.5,0,74,75.216858
0,5,0,99.461472,99.883888,2732.169434,77.970299,47.5,0,74,75.216858
0,5,0,99.461472,99.883888,2732.169434,76.952171,47.5,0,74,75.216858
0,5,0,99.461472,99.883888,2718.056641,76.952171,47.5,0,74,75.216858
0,5,0,99.461472,99.883888,2714.683594,76.952171,47.5,1,74,75.216858
0,5,0,99.461472,99.883888,2718.056641,76.952171,47.5,1,74,75.216858
0,5,0,99.461472,99.883888,2714.683594,76.952171,47.5,1,74,75.216858
0,5,0,99.461472,99.883888,2721.15332,76.952171,47.5,1,74,75.216858
0,5,0,99.461472,99.883888,2712.845459,76.952171,47.5,1,74,75.216858
0,5,0,61.414623,99.883888,2721.15332,76.952171,47.5,1,74,75.216858
0,5,0,0.014215,99.883888,2715.371094,76.952171,47.5,1,74,75.216858
0,5,0,0.014215,99.883888,2715.371094,76.952171,47.5,1,74,75.216858
0,5,0,0.014215,99.883888,2715.371094,76.952171,47.5,0,74,75.216858
0,5,0,0.014215,99.883888,2713.097656,76.952171,47.5,0,74,75.216858
0,5,0,0.014215,99.883888,2716.551758,76.952171,47.5,1,74,75.216858
0,5,0,1.019349,99.883888,2716.551758,76.952171,47.5,1,74,75.216858
0,5,0,17.878252,99.883888,2716.614258,76.952171,47.5,1,74,75.216858
0,5,0,17.878252,99.883888,2720.149414,76.952171,47.5,1,74,75.216858
0,5,0,17.878252,99.883888,2725.051758,76.952171,47.5,1,74,75.216858
0,5,0,0.418997,99.883888,2724.526367,76.952171,47.5,1,74,75.216858
0,5,0,0.418997,99.883888,2724.526367,76.952171,47.5,1,74,75.216858
0,5,0,0.418997,99.883888,2719.776611,76.952171,47.5,0,74,75.216858
0,5,0,0.418997,99.883888,2719.333496,76.952171,47.5,1,74,75.216858
0,5,0,50.58289,99.883888,2715.023682,76.952171,47.5,1,74,75.216858
0,5,0,99.445351,99.883888,2714.125244,75.942482,47.5,1,74,74.209991
0,5,0,99.445351,99.883888,2710.280762,75.942482,47.5,1,74,74.209991
0,5,0,99.445351,99.883888,2702.617188,75.942482,47.5,1,74,74.209991
0,5,0,99.445351,99.883888,2677.047852,75.942482,47.5,1,74,74.209991
0,5,0,99.445351,99.883888,2538.446289,75.942482,47.5,1,74,74.209991
0,5,0,99.445351,99.883888,2515.91333,75.942482,47.5,0,74,74.209991
0,5,0,99.445351,99.883888,2515.91333,75.942482,48.5,1,74,74.209991
0,5,0,99.445351,99.883888,2512.033203,75.942482,48.5,1,74,74.209991
0,0,0,99.445351,99.883888,2502.028809,75.942482,48.5,1,74,74.209991
0,0,0,99.445351,99.883888,2489.090088,75.942482,48.5,1,74,73.197487
0,0,0,99.445351,99.883888,2479.5354,75.942482,48.5,1,74,73.197487
0,0,0,99.445351,99.883888,2475.496826,75.942482,48.5,1,74,73.197487
0,0,0,99.445351,99.883888,2457.038086,75.942482,48.5,1,74,73.197487
0,0,0,99.445351,99.883888,2434.61499,75.942482,48.5,1,74,73.197487
0,0,0,99.445351,99.883888,2411.014648,74.929985,48.5,1,74,73.197487
0,0,0,99.445351,99.883888,2271.218506,74.929985,48.5,1,74,72.196236
0,0,0,60.849667,99.883888,2020.808594,74.929985,48.5,1,74,72.196236
0,0,0,0.079749,99.883888,1930.908325,73.892174,48.5,0,74,72.196236
0,0,0,0.079749,99.883888,1928.762817,73.892174,48.5,0,74,72.196236
0,0,0,0.079749,99.883888,1928.762817,73.892174,48.5,1,74,72.196236
0,0,0,0.079749,99.883888,1928.762817,73.892174,48.5,1,74,72.196236
0,0,0,0.079749,99.883888,1931.392334,73.892174,48.5,1,74,72.196236
0,0,0,0.079749,99.883888,1931.392334,73.892174,48.5,1,74,72.196236
0,0,0,0.079749,99.883888,1921.091919,73.892174,48.5,1,74,72.196236
0,0,0,0.079749,99.883888,1921.091919,73.892174,48.5,1,74,72.196236
0,0,0,0.079749,99.883888,1917.688965,73.892174,48.5,2,74,72.196236
0,0,0,0.079749,98.148529,1916.717773,73.892174,48.5,292,74,72.196236
0,0,0,0.079749,98.148529,1916.717773,73.892174,48.5,592,74,72.196236
0,0,0,0.079749,98.148529,1922.08313,73.892174,48.5,892,74,72.196236
0,0,0,0.079749,98.148529,1926.296997,73.892174,48.5,1191,74,72.196236
0,0,0,0.079749,99.153572,1932.861084,73.892174,48.5,1492,74,72.196236
0,0,0,0.079749,99.153572,1932.861084,73.892174,48.5,1793,74,72.196236
0,0,0,0.079749,99.153572,1927.307129,73.892174,48.5,2092,74,72.196236
0,0,0,0.079749,99.153572,1927.307129,73.892174,48.5,2392,74,72.196236
0,0,0,0.079749,99.153572,1930.031616,73.892174,48.5,2692,74,72.196236
0,0,0,0.079749,98.152321,1934.082153,73.892174,48.5,2993,74,72.196236
0,0,0,0.079749,97.128342,1932.488403,73.892174,48.5,3292,74,72.196236
0,0,0,0.079749,95.119003,1932.488403,73.892174,48.5,3592,74,72.196236
0,0,0,0.079749,94.109108,1925.926147,73.892174,48.5,3892,74,72.196236
0,0,0,0.079749,93.101433,1925.926147,73.892174,48.5,4192,74,72.196236
0,0,0,0.079749,92.095505,1920.491943,73.892174,48.5,4492,74,72.196236
0,0,0,0.079749,91.092522,1928.48584,73.892174,48.5,4793,74,72.196236
0,0,0,0.079749,90.082756,1933.406738,73.892174,48.5,5091,74,72.196236
0,0,0,0.079749,89.054886,1933.406738,73.892174,48.5,5392,74,72.196236
0,0,0,0.079749,88.047531,1933.406738,73.892174,48.5,5691,74,72.196236
0,0,0,0.079749,87.028839,1929.036621,73.892174,48.5,5992,74,72.196236
0,0,0,0.079749,85.009415,1930.709351,73.892174,48.5,6292,74,72.196236
0,0,0,0.079749,83.984688,1929.036621,73.892174,48.5,6593,74,72.196236
0,0,0,0.079749,81.937019,1929.506348,73.892174,48.5,6891,74,72.196236
0,0,0,0.079749,79.903725,1929.506348,73.892174,48.5,7192,74,72.196236
0,0,0,0.079749,77.883217,1933.231934,73.892174,48.5,7492,74,72.196236
0,0,0,0.079749,75.85083,1940.709473,73.892174,48.5,7792,74,72.196236
0,0,0,0.079749,73.825569,1937.702515,73.892174,48.5,8091,74,72.196236
0,0,0,0.079749,73.825569,1937.702515,73.892174,48.5,8392,74,72.196236
0,0,0,0.079749,73.825569,1930.524414,73.892174,48.5,8691,74,72.196236
0,0,0,0.079749,73.825569,1930.524414,73.892174,48.5,8993,74,72.196236
0,0,0,0.079749,73.825569,1933.931763,73.892174,48.5,9291,74,72.196236
1,0,1,0.079749,73.825569,1933.931763,73.892174,48.5,9592,74,72.196236
1,0,1,0.079749,73.825569,1930.578857,73.892174,48.5,9892,74,72.196236
1,0,1,0.079749,73.825569,1925.109863,73.892174,48.5,9999,74,72.196236
1,0,1,0.079749,73.825569,1917.285889,73.892174,48.5,9999,74,72.196236
1,0,1,0.079749,73.825569,1925.109863,73.892174,48.5,9999,74,72.196236
1,0,1,0.079749,73.825569,1925.127686,73.892174,48.5,9999,74,72.196236
1,0,1,0.079749,73.825569,1925.127686,73.892174,48.5,9999,74,72.196236
1,0,1,0.079749,73.825569,1922.795898,73.892174,47.5,9999,74,72.196236
1,0,1,0.079749,73.825569,1922.795898,73.892174,47.5,9999,74,72.196236
0,0,0,0.079749,73.825569,1929.555176,73.892174,47.5,9999,74,72.196236
0,0,0,0.079749,99.553497,1929.555176,74.901863,47.5,9999,74,72.196236
0,0,0,0.079749,99.553497,1929.555176,75.908737,47.5,9999,74,73.197487
0,0,0,0.079749,99.553497,1929.555176,75.908737,47.5,9999,74,73.197487
0,0,0,0.079749,99.553497,1929.555176,75.908737,47.5,9999,74,73.197487
0,0,0,0.079749,99.553497,1929.555176,75.908737,47.5,9999,74,73.197487
0,0,0,0.079749,99.553497,1929.555176,75.908737,48.5,9999,74,73.197487
0,0,0,0.079749,99.553497,1929.555176,75.908737,48.5,9999,74,73.197487
0,0,0,0.079749,99.553497,1929.555176,75.908737,48.5,9999,74,73.197487
0,0,0,0.079749,99.553497,1929.555176,75.908737,48.5,9999,74,73.197487
0,0,0,0.079749,99.553497,1929.555176,75.908737,48.5,9999,74,73.197487
0,0,0,0.079749,99.553497,1929.555176,75.908737,48.5,9999,74,73.197487
0,0,0,0.079749,99.553497,1929.555176,75.908737,48.5,9999,74,73.197487
0,0,0,0.079749,99.553497,1929.555176,75.908737,48.5,9999,74,73.197487
0,0,0,0.079749,99.553497,1929.555176,75.908737,48.5,9999,74,73.197487
0,0,0,0.079749,99.553497,1929.555176,75.908737,48.5,9999,74,73.197487
0,0,0,0.079749,99.553497,1929.555176,75.908737,48.5,9999,74,73.197487
0,0,0,0.079749,99.553497,1929.555176,75.908737,48.5,9999,74,73.197487
0,0,0,0.079749,99.553497,1929.555176,75.908737,48.5,9999,74,73.197487
0,0,0,0.079749,99.553497,1929.555176,75.908737,48.5,9999,74,73.197487
0,0,0,0.079749,99.553497,1929.555176,75.908737,48.5,9999,74,73.197487
0,0,0,0.079749,99.553497,1929.555176,75.908737,48.5,9999,74,73.197487
0,0,0,0.079749,99.553497,1929.555176,75.908737,48.5,9999,74,72.190605
